Frame,Visibility,X,Y,Radius
0,1,1856,521,0
1,1,1856,521,18
2,1,1856,521,21
3,1,1856,521,24
4,1,1856,521,32
5,1,1856,521,36
6,1,1856,521,37
7,1,1301,480,33
8,1,1301,480,31
9,1,1905,461,26
10,1,1905,461,27
11,0,-1,-1,0
12,0,-1,-1,0
13,0,-1,-1,0
14,0,-1,-1,0
15,1,1012,678,30
16,0,-1,-1,0
17,0,-1,-1,0
18,0,-1,-1,0
19,1,888,723,25
20,1,836,712,26
21,1,802,738,28
22,1,787,768,30
23,1,705,780,36
24,1,705,802,30
25,0,-1,-1,0
26,1,630,847,25
27,0,-1,-1,0
28,1,547,881,13
29,1,506,937,13
30,1,453,937,9
31,1,1485,870,9
32,1,1841,536,10
33,1,1841,536,12
34,1,1841,536,25
35,1,1841,540,22
36,0,-1,-1,0
37,1,270,1005,26
38,1,277,975,28
39,1,348,918,24
40,1,360,866,20
41,0,-1,-1,0
42,0,-1,-1,0
43,0,-1,-1,0
44,0,-1,-1,0
45,1,397,645,11
46,1,382,577,11
47,1,420,495,7
48,1,408,506,7
49,1,446,457,8
50,1,435,427,8
51,1,450,386,7
52,1,457,363,6
53,1,457,333,6
54,1,521,270,6
55,0,-1,-1,0
56,1,547,221,8
57,1,551,183,25
58,1,558,153,33
59,1,566,131,33
60,1,566,93,27
61,1,573,75,27
62,1,577,56,27
63,1,588,26,30
64,0,-1,-1,0
65,0,-1,-1,0
66,0,-1,-1,0
67,0,-1,-1,0
68,0,-1,-1,0
69,0,-1,-1,0
70,0,-1,-1,0
71,1,1830,536,25
72,0,-1,-1,0
73,0,-1,-1,0
74,0,-1,-1,0
75,0,-1,-1,0
76,0,-1,-1,0
77,0,-1,-1,0
78,0,-1,-1,0
79,0,-1,-1,0
80,0,-1,-1,0
81,0,-1,-1,0
82,0,-1,-1,0
83,0,-1,-1,0
84,0,-1,-1,0
85,0,-1,-1,0
86,0,-1,-1,0
87,0,-1,-1,0
88,0,-1,-1,0
89,0,-1,-1,0
90,1,1811,551,22
91,1,1815,551,19
92,1,1815,547,18
93,1,1815,547,21
94,1,1815,547,25
95,1,1815,547,23
96,1,1815,543,21
97,1,1815,543,19
98,1,1893,543,19
99,0,-1,-1,0
100,0,-1,-1,0
101,0,-1,-1,0
102,0,-1,-1,0
103,1,1005,26,22
104,1,1001,33,25
105,1,1035,37,33
106,1,1046,63,36
107,1,1046,82,30
108,0,-1,-1,0
109,1,1053,135,30
110,1,1065,168,30
111,1,1091,187,32
112,1,1095,210,33
113,1,1098,225,36
114,1,1841,101,30
115,1,1841,101,25
116,1,1102,303,12
117,1,1095,352,14
118,1,1132,371,17
119,1,1125,405,29
120,1,1155,423,34
121,1,1136,453,36
122,1,1147,495,37
123,0,-1,-1,0
124,1,1151,562,37
125,1,1166,562,37
126,0,-1,-1,0
127,1,1173,645,37
128,1,1188,660,37
129,0,-1,-1,0
130,0,-1,-1,0
131,0,-1,-1,0
132,0,-1,-1,0
133,0,-1,-1,0
134,0,-1,-1,0
135,1,1331,802,37
136,1,1331,798,35
137,1,1185,708,33
138,1,1230,701,35
139,1,1226,675,35
140,1,1200,648,35
141,1,1207,607,35
142,1,1222,570,35
143,1,1203,543,36
144,0,-1,-1,0
145,1,1203,480,36
146,1,1177,442,35
147,1,1188,412,36
148,1,1188,375,36
149,1,1185,345,37
150,1,1185,326,37
151,1,1181,292,38
152,1,1177,262,39
153,1,1177,232,39
154,1,1170,198,39
155,1,1173,172,39
156,1,1155,146,38
157,1,1166,112,38
158,1,1151,90,37
159,1,1151,63,37
160,1,1143,33,37
161,1,1181,37,37
162,1,1218,701,33
163,1,1215,705,30
164,1,1207,708,26
165,1,1207,716,24
166,1,1777,558,20
167,1,1777,558,19
168,1,1777,558,18
169,0,-1,-1,0
170,0,-1,-1,0
171,1,1091,840,18
172,1,1095,836,18
173,0,-1,-1,0
174,1,1200,858,18
175,1,1203,870,10
176,1,1207,885,10
177,1,1222,896,7
178,0,-1,-1,0
179,0,-1,-1,0
180,0,-1,-1,0
181,0,-1,-1,0
182,0,-1,-1,0
183,0,-1,-1,0
184,0,-1,-1,0
185,0,-1,-1,0
186,0,-1,-1,0
187,0,-1,-1,0
188,0,-1,-1,0
189,0,-1,-1,0
190,0,-1,-1,0
191,0,-1,-1,0
192,0,-1,-1,0
193,0,-1,-1,0
194,0,-1,-1,0
195,1,1800,97,5
196,0,-1,-1,0
197,0,-1,-1,0
198,1,1766,562,6
199,1,1766,562,7
200,1,1766,562,13
201,1,1766,562,15
202,1,1766,562,16
203,0,-1,-1,0
204,0,-1,-1,0
205,0,-1,-1,0
206,1,847,60,14
207,0,-1,-1,0
208,1,843,165,14
209,1,832,198,14
210,1,832,232,14
211,0,-1,-1,0
212,1,802,330,13
213,1,881,446,15
214,0,-1,-1,0
215,0,-1,-1,0
216,1,1755,566,16
217,1,727,693,20
218,1,1755,566,19
219,1,708,888,22
220,1,712,948,19
221,1,1826,101,16
222,1,1822,101,9
223,1,1822,101,7
224,0,-1,-1,0
225,0,-1,-1,0
226,1,1185,873,5
227,0,-1,-1,0
228,1,1365,798,6
229,1,1455,806,6
230,1,1496,750,7
231,1,1590,708,6
232,1,1755,566,7
233,1,1751,566,8
234,0,-1,-1,0
235,0,-1,-1,0
236,1,1886,660,8
237,1,1897,633,14
238,0,-1,-1,0
239,0,-1,-1,0
240,0,-1,-1,0
241,0,-1,-1,0
242,0,-1,-1,0
243,0,-1,-1,0
244,0,-1,-1,0
245,0,-1,-1,0
246,0,-1,-1,0
247,0,-1,-1,0
248,0,-1,-1,0
249,0,-1,-1,0
250,0,-1,-1,0
251,0,-1,-1,0
252,0,-1,-1,0
253,0,-1,-1,0
254,0,-1,-1,0
255,0,-1,-1,0
256,0,-1,-1,0
257,0,-1,-1,0
258,0,-1,-1,0
259,0,-1,-1,0
260,0,-1,-1,0
261,0,-1,-1,0
262,0,-1,-1,0
263,0,-1,-1,0
264,0,-1,-1,0
265,0,-1,-1,0
266,0,-1,-1,0
267,0,-1,-1,0
268,0,-1,-1,0
269,0,-1,-1,0
270,0,-1,-1,0
271,0,-1,-1,0
272,0,-1,-1,0
273,0,-1,-1,0
274,0,-1,-1,0
275,0,-1,-1,0
276,0,-1,-1,0
277,0,-1,-1,0
278,0,-1,-1,0
279,0,-1,-1,0
280,0,-1,-1,0
281,0,-1,-1,0
282,0,-1,-1,0
283,0,-1,-1,0
284,0,-1,-1,0
285,0,-1,-1,0
286,0,-1,-1,0
287,0,-1,-1,0
288,0,-1,-1,0
289,0,-1,-1,0
290,0,-1,-1,0
291,0,-1,-1,0
292,0,-1,-1,0
293,0,-1,-1,0
294,0,-1,-1,0
295,0,-1,-1,0
296,0,-1,-1,0
297,0,-1,-1,0
298,0,-1,-1,0
299,0,-1,-1,0
300,0,-1,-1,0
301,0,-1,-1,0
302,0,-1,-1,0
303,0,-1,-1,0
304,0,-1,-1,0
305,0,-1,-1,0
306,0,-1,-1,0
307,0,-1,-1,0
308,0,-1,-1,0
309,0,-1,-1,0
310,0,-1,-1,0
311,0,-1,-1,0
312,0,-1,-1,0
313,0,-1,-1,0
314,0,-1,-1,0
315,0,-1,-1,0
316,0,-1,-1,0
317,1,1395,888,25
318,1,1395,881,21
319,1,1395,881,21
320,1,1395,881,21
321,1,1395,877,24
322,1,1391,881,27
323,0,-1,-1,0
324,0,-1,-1,0
325,0,-1,-1,0
326,0,-1,-1,0
327,0,-1,-1,0
328,0,-1,-1,0
329,0,-1,-1,0
330,0,-1,-1,0
331,0,-1,-1,0
332,0,-1,-1,0
333,1,1455,956,25
334,0,-1,-1,0
335,1,1455,956,26
336,1,1455,956,26
337,0,-1,-1,0
