Frame,Visibility,X,Y,Radius
0,0,-1,-1,0
1,0,-1,-1,0
2,0,-1,-1,0
3,0,-1,-1,0
4,0,-1,-1,0
5,0,-1,-1,0
6,0,-1,-1,0
7,0,-1,-1,0
8,0,-1,-1,0
9,0,-1,-1,0
10,0,-1,-1,0
11,0,-1,-1,0
12,0,-1,-1,0
13,0,-1,-1,0
14,0,-1,-1,0
15,0,-1,-1,0
16,0,-1,-1,0
17,0,-1,-1,0
18,0,-1,-1,0
19,0,-1,-1,0
20,0,-1,-1,0
21,0,-1,-1,0
22,0,-1,-1,0
23,0,-1,-1,0
24,0,-1,-1,0
25,0,-1,-1,0
26,0,-1,-1,0
27,0,-1,-1,0
28,1,885,405,22
29,1,888,423,21
30,0,-1,-1,0
31,0,-1,-1,0
32,0,-1,-1,0
33,0,-1,-1,0
34,0,-1,-1,0
35,0,-1,-1,0
36,0,-1,-1,0
37,1,870,408,24
38,1,870,393,25
39,1,870,386,28
40,1,858,375,28
41,1,858,367,24
42,1,855,360,21
43,1,851,352,17
44,1,847,337,16
45,1,843,333,16
46,1,840,322,15
47,1,836,315,15
48,1,828,307,16
49,1,825,300,16
50,1,825,292,16
51,1,821,285,16
52,1,817,277,16
53,1,813,270,16
54,1,810,262,16
55,1,806,258,16
56,1,798,255,16
57,1,795,247,16
58,1,795,240,16
59,1,787,236,17
60,1,783,232,17
61,1,780,228,17
62,1,772,221,17
63,1,772,217,17
64,0,-1,-1,0
65,0,-1,-1,0
66,0,-1,-1,0
67,0,-1,-1,0
68,0,-1,-1,0
69,0,-1,-1,0
70,0,-1,-1,0
71,0,-1,-1,0
72,0,-1,-1,0
73,0,-1,-1,0
74,0,-1,-1,0
75,1,705,191,18
76,1,708,191,18
77,1,708,191,18
78,1,708,191,18
79,0,-1,-1,0
80,0,-1,-1,0
81,1,682,195,19
82,1,678,195,19
83,1,678,198,20
84,1,675,198,20
85,1,660,210,20
86,1,656,213,21
87,1,652,221,20
88,1,648,225,20
89,1,645,228,20
90,1,637,236,20
91,1,637,247,20
92,1,633,255,20
93,1,626,262,20
94,1,618,270,20
95,1,615,277,20
96,1,611,288,20
97,1,607,300,20
98,1,600,307,20
99,1,588,322,21
100,1,588,333,22
101,1,588,345,22
102,1,581,356,22
103,1,573,367,22
104,1,570,378,22
105,1,562,393,21
106,1,562,401,22
107,1,558,423,22
108,0,-1,-1,0
109,1,551,450,21
110,1,547,472,22
111,1,543,476,21
112,1,536,495,22
113,1,540,502,21
114,1,540,491,21
115,1,547,476,22
116,1,547,476,22
117,1,558,453,22
118,1,558,446,22
119,1,566,438,22
120,1,570,427,22
121,1,570,420,21
122,1,573,412,22
123,1,577,412,21
124,1,412,697,20
125,1,592,393,20
126,0,-1,-1,0
127,1,592,382,20
128,0,-1,-1,0
129,1,600,367,20
130,1,603,367,20
131,0,-1,-1,0
132,0,-1,-1,0
133,0,-1,-1,0
134,0,-1,-1,0
135,1,626,341,19
136,1,626,341,19
137,1,630,337,18
138,1,630,337,18
139,1,633,337,17
140,1,637,333,16
141,1,645,333,16
142,1,656,345,16
143,1,660,345,17
144,1,652,348,18
145,1,660,348,18
146,1,660,348,18
147,1,660,348,18
148,1,660,352,17
149,1,660,356,18
150,0,-1,-1,0
151,0,-1,-1,0
152,0,-1,-1,0
153,1,682,371,17
154,1,682,371,17
155,1,686,378,17
156,1,690,382,17
157,1,693,390,16
158,1,693,393,16
159,1,697,397,16
160,1,701,405,16
161,1,708,412,16
162,1,705,423,16
163,1,708,427,15
164,1,712,431,15
165,1,716,438,15
166,1,720,442,15
167,1,723,450,15
168,1,723,453,14
169,1,727,465,14
170,1,727,472,14
171,0,-1,-1,0
172,1,738,495,16
173,1,735,491,18
174,1,731,483,23
175,1,727,453,25
176,1,727,446,26
177,1,723,438,22
178,1,723,427,20
179,1,720,412,16
180,1,723,401,15
181,1,720,390,14
182,1,716,378,14
183,1,708,367,15
184,1,708,360,15
185,1,708,348,16
186,1,708,337,16
187,1,705,333,16
188,1,701,322,16
189,1,697,311,16
190,1,697,300,16
191,1,697,292,16
192,1,693,277,16
193,1,693,270,15
194,1,690,262,15
195,1,690,258,15
196,1,686,251,16
197,1,682,243,16
198,1,682,240,16
199,1,682,232,16
200,1,678,225,16
201,1,675,221,16
